FOXG_10838	0.089	0.4982	0.178643115215
FOXG_10840	0.0781	0.3217	0.242772769661
FOXG_10846	0.059	0.4207	0.140242453054
FOXG_10847	0.0365	0.4323	0.0844321073329
FOXG_10848	0.0463	0.4004	0.115634365634
FOXG_10854	0.1525	0.5545	0.275022542831
FOXG_20392	0.1078	0.6037	0.178565512672
FOXG_10855	0.034	0.5307	0.064066327492
FOXG_10856	0.0293	0.5926	0.0494431319609
FOXG_10858	0.1132	0.7292	0.155238617663
FOXG_20394	0.0434	0.5155	0.0841901066925
FOXG_10860	0.0933	0.4707	0.198215423837
FOXG_10861	0.0769	0.4039	0.190393661797
FOXG_10862	0.0331	0.4398	0.075261482492
FOXG_10863	0.1767	0.4915	0.359511698881
FOXG_10867	0.0482	0.5352	0.0900597907324
FOXG_10868	0.0329	0.3958	0.0831227892875
FOXG_10869	0.0974	0.632	0.154113924051
FOXG_10871	0.0672	0.5048	0.133122028526
FOXG_10875	0.2761	0.9285	0.297361335487
FOXG_10876	0.0728	0.468	0.155555555556
FOXG_10877	0.0144	0.3807	0.0378250591017
FOXG_10878	0.0622	0.383	0.162402088773
FOXG_10879	0.0074	0.4388	0.0168641750228
FOXG_10880	0.0085	0.3432	0.0247668997669
FOXG_10883	0.0218	0.4099	0.0531837033423
FOXG_10884	0.007	0.3104	0.0225515463918
FOXG_10885	0.0595	0.4083	0.145726181729
FOXG_10887	0.0452	0.494	0.0914979757085
FOXG_10888	0.0382	0.3584	0.106584821429
FOXG_10889	0.0095	0.3515	0.027027027027
FOXG_10890	0.016	0.4361	0.0366888328365
FOXG_10891	0.0147	0.7366	0.0199565571545
FOXG_10892	0.0004	0.4064	0.000984251968504
FOXG_20400	0.0211	0.3471	0.060789397868
FOXG_10895	0.0311	0.3418	0.0909888823874
FOXG_10896	0.026	0.5625	0.0462222222222
FOXG_20401	0.0444	0.2381	0.186476270475
FOXG_10908	0.2181	0.4986	0.43742478941
FOXG_10909	0.0267	0.3861	0.0691530691531
FOXG_10920	0.0212	0.2515	0.0842942345924
FOXG_10921	0.0265	0.2101	0.126130414089
FOXG_10922	0.034	0.3453	0.0984651028092
FOXG_10923	0.0445	0.2473	0.179943388597
FOXG_10924	0.0474	0.4747	0.0998525384453
FOXG_10925	0.0333	0.3192	0.104323308271
FOXG_10926	0.0256	0.4184	0.0611854684512
FOXG_20405	0.1473	0.6681	0.22047597665
FOXG_10927	0.0683	0.4536	0.15057319224
FOXG_10928	0.14	0.5343	0.262025079543
FOXG_10929	0.0101	0.5434	0.0185866764814
FOXG_10930	0.0486	0.5127	0.0947922761849
FOXG_10931	0.1141	0.5439	0.209781209781
FOXG_10932	0.0531	0.5144	0.103227060653
FOXG_10933	0.0157	0.5823	0.0269620470548
FOXG_10934	0.0487	0.2618	0.18601986249
FOXG_10935	0.0078	0.4259	0.0183141582531
FOXG_20407	0.121	0.4511	0.268233207714
FOXG_10938	0.0326	0.3886	0.0838908903757
FOXG_10939	0.0562	0.502	0.111952191235
FOXG_10940	0.0734	0.5878	0.12487240558
