FOXG_10189	0.0782
FOXG_10188	0.6346
FOXG_14645	0.1228
FOXG_10181	0.1243
FOXG_10180	0.0835
FOXG_10183	0.0884
FOXG_10182	0.1229
FOXG_10185	0.0421
FOXG_10184	0.0156
FOXG_10186	0.0619
FOXG_18203	0.2249
FOXG_18759	0.152
FOXG_04238	0.3547
FOXG_04239	0.1228
FOXG_04236	0.021
FOXG_04237	0.0931
FOXG_04234	0.1616
FOXG_04235	0.2003
FOXG_04232	0.1001
FOXG_04233	0.5852
FOXG_04230	0.0829
FOXG_04231	0.0602
FOXG_16832	0.0299
FOXG_03930	0.208
FOXG_03931	0.0204
FOXG_03932	0.0458
FOXG_03933	0.0752
FOXG_03934	0.1886
FOXG_03937	0.0739
FOXG_11582	0.179
FOXG_11583	0.0551
FOXG_11580	0.1213
FOXG_11581	0.0937
FOXG_11586	0.0784
FOXG_11587	0.2409
FOXG_11584	0.2631
FOXG_11585	0.9648
FOXG_12819	0.0319
FOXG_11588	0.202
FOXG_11589	0.3725
FOXG_12818	0.0764
FOXG_16839	0.0275
FOXG_10239	0.0715
FOXG_10238	0.0725
FOXG_01060	0.0687
FOXG_04581	0.2109
FOXG_01062	0.0378
FOXG_01063	0.0902
FOXG_01064	0.0343
FOXG_01066	0.1498
FOXG_01067	0.1951
FOXG_01068	0.0961
FOXG_04589	0.0595
FOXG_08347	0.0439
FOXG_20155	0.3418
FOXG_20157	0.2421
FOXG_20156	0.5343
FOXG_20401	0.1863
FOXG_18874	0.1294
FOXG_12813	0.1326
FOXG_21600	0.1329
FOXG_08344	0.0267
FOXG_12812	0.2096
FOXG_21589	0.287
FOXG_18754	0.1325
FOXG_10384	0.0632
FOXG_21588	0.5603
FOXG_19995	0.3261
FOXG_18209	0.3475
FOXG_19189	0.1772
FOXG_05189	0.021
FOXG_05188	0.001
FOXG_05187	0.0194
FOXG_05186	0.0184
FOXG_05185	0.0785
FOXG_05184	0.1802
FOXG_05183	0.6208
FOXG_05182	0.0307
FOXG_05180	0.0653
FOXG_19996	0.2266
FOXG_00919	0.0494
FOXG_00918	0.4436
FOXG_00917	0.4819
FOXG_00916	0.0944
FOXG_00915	0.154
FOXG_18753	0.3129
FOXG_00913	0.1023
FOXG_00912	0.2759
FOXG_00910	0.0849
FOXG_07901	0.0751
FOXG_08507	0.1447
FOXG_07900	0.1879
FOXG_19992	0.1652
FOXG_08501	0.001
FOXG_07902	0.0524
FOXG_04368	0.0564
FOXG_11189	0.0333
FOXG_07905	0.0928
FOXG_16838	0.2257
FOXG_07904	0.1528
FOXG_07907	0.1741
FOXG_13528	0.0368
FOXG_13529	0.442
FOXG_13526	0.1505
FOXG_13524	0.019
FOXG_13525	0.0247
